film_ref	community_id
(filmRef)20444	0
(filmRef)17365	0
(filmRef)20326	0
(filmRef)17363	0
(filmRef)15285	0
(filmRef)15286	0
(filmRef)15287	0
(filmRef)15288	0
(filmRef)15289	0
(filmRef)15393	0
(filmRef)15279	0
(filmRef)15394	0
(filmRef)15396	0
(filmRef)15397	0
(filmRef)15398	0
(filmRef)15399	0
(filmRef)15400	0
(filmRef)15401	0
(filmRef)15395	0
(filmRef)15402	0
(filmRef)15278	0
(filmRef)15276	0
(filmRef)15214	0
(filmRef)15215	0
(filmRef)15216	0
(filmRef)15217	0
(filmRef)15218	0
(filmRef)15219	0
(filmRef)15277	0
(filmRef)15220	0
(filmRef)15222	0
(filmRef)15271	0
(filmRef)15272	0
(filmRef)15273	0
(filmRef)15274	0
(filmRef)15275	0
(filmRef)15221	0
(filmRef)15403	0
(filmRef)15404	0
(filmRef)15405	0
(filmRef)15468	0
(filmRef)15612	0
(filmRef)15613	0
(filmRef)15614	0
(filmRef)15615	0
(filmRef)15616	0
(filmRef)15467	0
(filmRef)15617	0
(filmRef)15619	0
(filmRef)15620	0
(filmRef)15621	0
(filmRef)15622	0
(filmRef)15623	0
(filmRef)15624	0
(filmRef)15618	0
(filmRef)15466	0
(filmRef)15457	0
(filmRef)15456	0
(filmRef)15406	0
(filmRef)15407	0
(filmRef)15408	0
(filmRef)15444	0
(filmRef)15445	0
(filmRef)15446	0
(filmRef)15447	0
(filmRef)15448	0
(filmRef)15449	0
(filmRef)15450	0
(filmRef)15451	0
(filmRef)15452	0
(filmRef)15453	0
(filmRef)15454	0
(filmRef)15455	0
(filmRef)15213	0
(filmRef)15210	0
(filmRef)15209	0
(filmRef)15208	0
(filmRef)14616	0
(filmRef)14719	0
(filmRef)14728	0
(filmRef)14729	0
(filmRef)14731	0
(filmRef)14733	0
(filmRef)14615	0
(filmRef)14745	0
(filmRef)14749	0
(filmRef)14750	0
(filmRef)14754	0
(filmRef)14759	0
(filmRef)14760	0
(filmRef)14766	0
