film_ref	tfidf_cluster
(filmRef)0336	19
(filmRef)0337	19
(filmRef)0338	19
(filmRef)0339	19
(filmRef)0340	19
(filmRef)0341	19
(filmRef)0342	19
(filmRef)0343	19
(filmRef)0344	19
(filmRef)0345	10
(filmRef)0346	10
(filmRef)0347	10
(filmRef)0348	10
(filmRef)0349	14
(filmRef)0350	3
(filmRef)0351	3
(filmRef)0352	10
(filmRef)0353	14
(filmRef)0354	2
(filmRef)0355	2
(filmRef)0356	14
(filmRef)0357	14
(filmRef)0358	2
(filmRef)0359	14
(filmRef)0360	2
(filmRef)0361	3
(filmRef)0362	10
(filmRef)0363	10
(filmRef)0364	10
(filmRef)0365	11
(filmRef)0366	10
(filmRef)0367	10
(filmRef)0368	7
(filmRef)0373	11
(filmRef)0374	10
(filmRef)0376	14
(filmRef)0377	2
(filmRef)0379	14
(filmRef)0380	10
(filmRef)0381	6
(filmRef)0382	18
(filmRef)0383	13
(filmRef)0385	10
(filmRef)0386	1
(filmRef)0387	13
(filmRef)0388	2
(filmRef)0389	11
(filmRef)0390	1
(filmRef)0391	11
(filmRef)0392	13
(filmRef)0393	14
(filmRef)0394	13
(filmRef)0395	18
(filmRef)0396	13
(filmRef)0397	10
(filmRef)0398	2
(filmRef)0399	11
(filmRef)0400	19
(filmRef)0401A	19
(filmRef)0401B	19
(filmRef)0402A	19
(filmRef)0402B	19
(filmRef)0403	19
(filmRef)0404A	19
(filmRef)0404B	19
(filmRef)0404C	19
(filmRef)0404D	19
(filmRef)0404E	19
(filmRef)0405	19
(filmRef)0406	19
(filmRef)0407A	19
(filmRef)0407B	19
(filmRef)0408	19
(filmRef)0409	19
(filmRef)0410	19
(filmRef)0411	19
(filmRef)0412B	19
(filmRef)0412C	19
(filmRef)0413	19
(filmRef)0414	19
(filmRef)0415	2
(filmRef)0416	10
(filmRef)0417	10
(filmRef)0418	2
(filmRef)0419	2
(filmRef)0420	13
(filmRef)0421	10
(filmRef)0422	14
(filmRef)0423	13
(filmRef)0424	13
(filmRef)0425	13
(filmRef)0426	14
(filmRef)0427	13
(filmRef)0428	13
(filmRef)0429	14
(filmRef)0430	13
(filmRef)0431	2
(filmRef)0432	3
(filmRef)0433	11
(filmRef)0434	13
(filmRef)0435	11
(filmRef)0436	13
(filmRef)0437	11
(filmRef)0438	13
(filmRef)0439	13
(filmRef)0440	11
(filmRef)0441	6
(filmRef)0442	1
(filmRef)0443	11
(filmRef)0444	19
(filmRef)0445	14
(filmRef)0446	14
(filmRef)0448	6
(filmRef)0449	14
(filmRef)0450	2
(filmRef)0451	11
(filmRef)0453	2
(filmRef)0454A	1
(filmRef)0454B	14
(filmRef)0455	6
(filmRef)0456	13
(filmRef)0457	14
(filmRef)0458	11
(filmRef)0459	6
(filmRef)0460	10
(filmRef)0462	14
(filmRef)0463	13
(filmRef)0464	18
(filmRef)0465	7
(filmRef)0466	11
(filmRef)0467	13
(filmRef)0468	11
(filmRef)0469	6
(filmRef)0470	6
(filmRef)0471	13
(filmRef)0473	10
(filmRef)0474	13
(filmRef)0476	13
(filmRef)0477	10
(filmRef)0478	13
(filmRef)0479	11
(filmRef)0480	10
(filmRef)0481	18
(filmRef)0482	13
(filmRef)0483	10
(filmRef)0484	13
(filmRef)0486	11
(filmRef)0487	13
(filmRef)0490	13
(filmRef)0491	11
(filmRef)0492	14
(filmRef)0493	13
(filmRef)0494	11
(filmRef)0495	13
(filmRef)0496	13
(filmRef)0497	13
(filmRef)0498	13
(filmRef)0499	2
(filmRef)0500	13
(filmRef)0501	10
(filmRef)0502	13
(filmRef)0503	11
(filmRef)0504	2
(filmRef)0505	13
(filmRef)0506	13
(filmRef)0507	2
(filmRef)0508	2
(filmRef)0509	11
(filmRef)0510	13
(filmRef)0511	10
(filmRef)0512	10
(filmRef)0513	2
(filmRef)0514	6
(filmRef)0515A	7
(filmRef)0515B	14
(filmRef)0515C	2
(filmRef)0516	14
(filmRef)0517A	14
(filmRef)0517B	7
(filmRef)0518	11
(filmRef)0519	14
(filmRef)0520	11
(filmRef)0521	19
(filmRef)0522	19
(filmRef)0523	6
(filmRef)0524	14
(filmRef)0525	14
(filmRef)0526	10
(filmRef)0527	19
(filmRef)0528	3
(filmRef)0529A	14
(filmRef)0529B	6
(filmRef)0529C	14
(filmRef)0529D	14
(filmRef)0530	10
(filmRef)0531	14
(filmRef)0532	6
(filmRef)0533	14
(filmRef)0534	14
