film_ref	title	tfidf_cluster	tc_pattern	has_shotlist	has_timecodes	has_grampian_tc	has_standard_tc	desc_word_count
(filmRef)0038	FRASERS' RETURN, the	10.0	A_standard_shotlist_tc	True	True	False	True	415
(filmRef)0039	UP-STREAM: A Thrilling Story of the Scottish Salmon Fisheries	2.0	A_standard_shotlist_tc	True	True	False	True	172
(filmRef)0040	NEW LEASE OF LIFE	11.0	F_other	True	True	False	False	125
(filmRef)0041	BRITISH MOVIETONE NEWS No. 227A, MOVIETONE PRESENTS THE LAUNCH OF THE 'QUEEN MARY'	18.0	A_standard_shotlist_tc	True	True	False	True	234
(filmRef)0042	[ABERDEEN 1906]	6.0	A_standard_shotlist_tc	True	True	False	True	1051
(filmRef)0042A	ABERDEEN 1906	6.0	A_standard_shotlist_tc	True	True	False	True	229
(filmRef)0043	(LARGS SUMMER SEASON 1936)	14.0	A_standard_shotlist_tc	True	True	False	True	295
(filmRef)0044	GLASGOW AND THE CLYDE COAST	2.0	A_standard_shotlist_tc	True	True	False	True	349
(filmRef)0045	BRITISH MOVIETONE NEWS No 465A, HIS MAJESTY OPENS EMPIRE EXHIBITION	6.0	A_standard_shotlist_tc	True	True	False	True	206
(filmRef)0046	LANIMER DAY, LANARK	19.0	A_standard_shotlist_tc	True	True	False	True	354
(filmRef)0048	PORT OF GLASGOW, the	2.0	A_standard_shotlist_tc	True	True	False	True	169
(filmRef)0049	ARMISTICE SERVICE, VICTORIA PARK, WHITEINCH and (SCHOOL SPORTS DAY)	14.0	F_other	True	True	False	False	69
(filmRef)0050	"LAUNCHING OF THE ""QUEEN MARY"""	18.0	A_standard_shotlist_tc	True	True	False	True	112
(filmRef)0051	UNIVERSAL NEWS ISSUE No 2396, QUEEN IN SCOTLAND, the	6.0	A_standard_shotlist_tc	True	True	False	True	395
(filmRef)0052	SYHA CONFERENCE	14.0	A_standard_shotlist_tc	True	True	False	True	33
(filmRef)0053	GOVAN FAIR 1952	19.0	A_standard_shotlist_tc	True	True	False	True	227
(filmRef)0054	ROYAL VISIT OF GEORGE VI	6.0	A_standard_shotlist_tc	True	True	False	True	99
(filmRef)0055	GLASGOW TRAMS, 21 May 1960	10.0	A_standard_shotlist_tc	True	True	False	True	186
(filmRef)0056	(TRAM ROUTES IN GLASGOW AND STEAM RAILWAYS)	2.0	A_standard_shotlist_tc	True	True	False	True	2371
(filmRef)0057	OUR TRANSPORT SERVICES	13.0	A_standard_shotlist_tc	True	True	False	True	503
(filmRef)0058	ONE HUNDRED YEARS OF FAMILY BUSINESS	11.0	A_standard_shotlist_tc	True	True	False	True	65
(filmRef)0059	SCOTTISH INDUSTRY, a	13.0	A_standard_shotlist_tc	True	True	False	True	111
(filmRef)0060	NEWS PARADE 1939	14.0	A_standard_shotlist_tc	True	True	False	True	273
(filmRef)0061	"YACHTING ON THE ""PANTHER"""	2.0	C_shotlist_no_tc	True	False	False	False	34
(filmRef)0062	GLASGOW - OUR CITY	10.0	A_standard_shotlist_tc	True	True	False	True	297
(filmRef)0063	CLYDE FITTINGS	13.0	A_standard_shotlist_tc	True	True	False	True	96
(filmRef)0064	QUEEN ELIZABETH RECEIVES THE HONOURS OF SCOTLAND	6.0	A_standard_shotlist_tc	True	True	False	True	30
(filmRef)0065	EMPIRE EXHIBITION	14.0	A_standard_shotlist_tc	True	True	False	True	66
(filmRef)0066	DALGUISE BOYS' CAMP	14.0	A_standard_shotlist_tc	True	True	False	True	47
(filmRef)0067	SAMSON STRIPPER: For Continuous Longwall Mining, the	13.0	A_standard_shotlist_tc	True	True	False	True	172
(filmRef)0068	HOW PLANT BREEDING CAN HELP THE FARMER	13.0	A_standard_shotlist_tc	True	True	False	True	75
(filmRef)0069	[WORK SIMPLIFICATION APPLIED TO CLERICAL OPERATIONS]	11.0	A_standard_shotlist_tc	True	True	False	True	64
(filmRef)0070	LOGGING IN THE SUNDARABANS, EAST PAKISTAN	11.0	A_standard_shotlist_tc	True	True	False	True	80
(filmRef)0071	HESSIAN LOOM AND COP LOADER	13.0	A_standard_shotlist_tc	True	True	False	True	68
(filmRef)0072	VISIT TO MAVOR AND COULSON, a	13.0	A_standard_shotlist_tc	True	True	False	True	156
(filmRef)0073	MULTI-JIB CUTTING AND LOADING IN THIN COKING COALS	13.0	A_standard_shotlist_tc	True	True	False	True	40
(filmRef)0074	MODERN MECHANICAL LOADING OF COAL	13.0	A_standard_shotlist_tc	True	True	False	True	399
(filmRef)0075	GROWTH OF AN INDUSTRY, the	13.0	A_standard_shotlist_tc	True	True	False	True	88
(filmRef)0076	NATIONAL CASH REGISTER COMPANY, DUNDEE	13.0	A_standard_shotlist_tc	True	True	False	True	44
(filmRef)0077	REPORT ON INDUSTRIAL SCOTLAND	13.0	A_standard_shotlist_tc	True	True	False	True	105
(filmRef)0079	CANALS IN SCOTLAND	2.0	A_standard_shotlist_tc	True	True	False	True	283
(filmRef)0080	ROYAL NORTHERN YACHT CLUB REGATTAS	2.0	A_standard_shotlist_tc	True	True	False	True	66
(filmRef)0081	[HIGHLAND GAMES]	14.0	A_standard_shotlist_tc	True	True	False	True	59
(filmRef)0082	MODERN MECHANICAL MINING IN A SOUTH AFRICAN COAL MINE	13.0	A_standard_shotlist_tc	True	True	False	True	178
(filmRef)0083	ROYAL NATIONAL YACHT CLUB REGATTA, ROTHESAY	2.0	A_standard_shotlist_tc	True	True	False	True	96
(filmRef)0084	SWEDISH OLYMPIC GYMNASTS	11.0	C_shotlist_no_tc	True	False	False	False	56
(filmRef)0085	ROOTES GROUP, the	13.0	A_standard_shotlist_tc	True	True	False	True	163
(filmRef)0087	LANARK'S 813th LANIMER DAY	19.0	A_standard_shotlist_tc	True	True	False	True	224
(filmRef)0088	LANIMER DAY, LANARK	19.0	A_standard_shotlist_tc	True	True	False	True	153
(filmRef)0089	LANARK LANIMER DAY	19.0	A_standard_shotlist_tc	True	True	False	True	158
(filmRef)0090	CHARLES RENNIE MACKINTOSH	10.0	A_standard_shotlist_tc	True	True	False	True	150
