film_ref	has_source_tag	source_name	desc_word_count	has_shotlist	is_broadcaster_summary
(filmRef)0199	False		119	True	False
(filmRef)0201	False		35	True	False
(filmRef)0202	False		31	True	False
(filmRef)0204	False		219	True	False
(filmRef)0231	False		381	True	False
(filmRef)0232	False		71	True	False
(filmRef)0234	False		183	True	False
(filmRef)0235	False		143	True	False
(filmRef)0236	False		124	True	False
(filmRef)0237	False		101	True	False
(filmRef)0238	False		124	True	False
(filmRef)0239	False		141	True	False
(filmRef)0241	False		343	True	False
(filmRef)0242	False		225	True	False
(filmRef)0244	False		126	True	False
(filmRef)0245A	False		63	True	False
(filmRef)0246A	False		46	True	False
(filmRef)0246B	False		76	True	False
(filmRef)0247	False		186	True	False
(filmRef)0248	False		51	True	False
(filmRef)0249	False		265	True	False
(filmRef)0250	False		95	True	False
(filmRef)0251	False		470	True	False
(filmRef)0252	False		37	True	False
(filmRef)0253	False		864	True	False
(filmRef)0255A	False		384	True	False
(filmRef)0255B	False		137	True	False
(filmRef)0255C	False		80	True	False
(filmRef)0256	False		663	True	False
(filmRef)0257	False		390	True	False
(filmRef)0258	False		162	True	False
(filmRef)0259	False		59	True	False
(filmRef)0260	False		309	True	False
(filmRef)0262	False		52	True	False
(filmRef)0264	False		133	True	False
(filmRef)0265A	False		60	True	False
(filmRef)0265B	False		43	True	False
(filmRef)0265C	False		35	True	False
(filmRef)0266	False		222	True	False
(filmRef)0268	False		201	True	False
(filmRef)0269	False		127	True	False
(filmRef)0270	False		306	True	False
(filmRef)0271	False		559	True	False
(filmRef)0272	False		171	True	False
(filmRef)0273	False		157	True	False
(filmRef)0274	False		384	True	False
(filmRef)0275	False		197	True	False
(filmRef)0276	False		239	True	False
(filmRef)0277	False		91	True	False
(filmRef)0278	False		124	True	False
(filmRef)0279	False		179	True	False
(filmRef)0280	False		365	True	False
(filmRef)0281	False		322	True	False
(filmRef)0282	False		161	True	False
(filmRef)0283	False		165	True	False
(filmRef)0284	False		176	True	False
(filmRef)0285	False		96	True	False
(filmRef)0286A	False		98	True	False
(filmRef)0286B	False		84	True	False
(filmRef)0288	False		202	True	False
(filmRef)0291	False		228	True	False
(filmRef)0292	False		219	True	False
(filmRef)0294	False		270	True	False
(filmRef)0295	False		150	True	False
(filmRef)0296	False		342	True	False
(filmRef)0297	False		238	True	False
(filmRef)0298	False		99	True	False
(filmRef)0299	False		227	True	False
(filmRef)0300	False		396	True	False
(filmRef)0301	False		368	True	False
(filmRef)0302	False		338	True	False
(filmRef)0303	False		472	True	False
(filmRef)0304	False		82	True	False
(filmRef)0305	False		241	True	False
(filmRef)0306	False		415	True	False
(filmRef)0307	False		346	True	False
(filmRef)0308	False		150	True	False
(filmRef)0309	False		108	True	False
(filmRef)0310	False		98	True	False
(filmRef)0311	False		96	True	False
(filmRef)0312	False		51	True	False
(filmRef)0313	False		91	True	False
(filmRef)0314	False		293	True	False
(filmRef)0315	False		348	True	False
(filmRef)0316	False		340	True	False
